ID,Korean,Dec
1051,강화 선수,Hubungi kita {{{{{}Bug / saran {{{})}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}Game metu {{{{{{}Link undhangan {{{{{{}Match simulasi {{{{{})}Strategi nyalin {{{{{{}Laporan {{{{}<Acara> {{
1052,재료 선수,Acara Express Sponsor! {{Priksa pariwara sing disponsori saiki kanggo entuk Ganjaran + 50%. {{{{{{{{{}Pindhah menyang pasar rekrutmen {{{{{{{{{{{{}<Review Acara> {{{{{{}Matur nuwun kanggo muter game. {{Iki minangka pitulung sing apik kanggo para pangembang. Sampeyan bakal nampa 300 intine minangka hadiah. {{{{{{{{{{{{{{})}Pindhah menyang Review {
1053,성공확률:,Mangga nulis email kanggo mangsuli. {{{{{{{{{{{{}(Mbutuhake miwiti maneh nalika ngganti basa) {{{{{{{{{{{{})}Acara 
1054,영입시장,Titik {
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Panjaluk kanca {{{{{}Tambah kanca {
1056,5번 보시면 200정수를 추가로 드립니다.,Dhaptar kanca {{{{{{{{{{{{}Temokake {{
1057,골드 영입,Ora 
1058,실버 선수,Informasi multimat {{{{{{{{{{{}Tambah kanca {
1059,시청,LINE {OLERASI {
1060,플레,Imbangan 
1061,골드,Custom {{{{{}Ndhuwur {{
1062,선수명단,Ndhuwur {{
1063,가격,Jungle {
1064,추천,Mid {
1065,구입,AD {
1066,탑 랭킹,Tengah {{
1067,내 순위,Ganking 
1068,새로고침시간,Tatanan utama {{{{{}Dibatesi
1069,대전정보,Lv {{{{}Tim {{{{{}Mangga nemtokake jeneng tim sampeyan {(nganti 5 karakter) {{{{{{})}Saka {{
1070,대전찾기,Isi {{}}}}}}}}}}}}Lampiran {{{{{{}Dhaptar Pesen {{{{{{{{{{}Menyang: {
1071,선수,Jinis lampiran: {{{{{}Detail: {{{{{{{}Biaya Transmisi: {{{{{{{}(Rega item + ragad dhasar 100 + 5% rega item sing dipasang) {{{{})}Kirim pesen {{{})}Challenger {{
1072,감독,Master 
1073,로그인,}Diamond {{{{}Platinum {{{{}Emas {
1074,확인,Perak {
1075,일일,Bronze 
1076,업적,<Musim Ganjaran # Informasi> {{{{{{}Informasi Ganjaran musim {{{{{{{}Ganjaran Nganyarke kelas 
1077,기타,Hall of Fame Sugangan {{{{{}Mangsa kertu hadiah {{{}Paket Diamond {{{}Paket Platinum {{{{{}Paket Emas {{{{}Paket Perak {{{{{{}Kabeh paket pamuter {{{{}{{{{{{{{{{{}Recruitment Challenger {{{{})}Kabeh-kalebu lift livruitment {{{{{})}Tanggal dikirim {{{
1078,보상,Informasi Ganjaran {{{{{{{{{{{}Kamenangan kanggo kabeh tim {{{}Ndeleng Rincian {{{{}Praktek {match {
1079,공지사항,Match {
1080,계속,Asil Multi Musim 
1081,이곳을 눌러 입력,Musim anyar diwiwiti {{{}AVG Total AVG: {{
1082,최종순위,Pencet kene kanggo {Jeneng Meroper Ketik {{{{{{}Musim 
1083,시즌 보상:,Info rekrutmen {{{{}Seach {{{{{}Kangelan 
1084,스킵,}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}Tim terkenal {{{{{{{{}Liga anyar miwiti 
1085,예,<Info Player Player> {{{{{{{{{}Turnamen {
1086,아니오,Juara {{{{{}Bracket Winner {{{{{}BRAKET {{{{{{})}Info Ganjaran ing musim hadiah {{{}Info hadiah crush {{{}Coba maneh {
1087,터치 하면 게임 시작,"※ Yen sampeyan ora nerusake turnamen pungkasan, sampeyan ora bakal diganjar. {{{{{{{{{{{{{})}Urutan"
1088,평점,Crush 
1089,경기진행,Info tim {{{{}Cocog sabanjure {{
1090,버전확인,Stats tim 
1091,업데이트하러 가기,Stats Player {
1092,다시확인,Player Player Mear> {{{{{{{{{{{{{{}Nambah exp {{{
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Auto cocog {
1094,이곳을 눌러 찾을 팀이름 입력,Item {
1095,밴플레이어,Barang sing dienggo {{{{{{}Barang cocog karo {{{{{}Gunakake {
1096,전달,{
1097,전송,Auto 
1098,문의하기,Addexp {{{{}※ Ganjaran mung bisa ditampa kanthi musim 10 utawa luwih. {{{{{{{{{})}Basa Ngeksa {{{}Ngreset 
1099,버그/건의,Urip maneh {{{{{}Pelatih 
1100,게임 종료,}}}}}}}Tambah {{{{})}Sub {
1101,초대링크,Game anyar {{{{{{
1102,모의경기,Laporan bug {{{{}Dhaptar Pelatih {{{{{{{{{{{{{}
1103,전략복사,Strategic Copy
1104,신고,Report
1105,<이벤트>,<Event>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Sponsor's Express Event! {{Check out the Sponsored Ads now to get an additional + 50% reward.
1107,영입시장으로 가기,Go to the recruitment market
1108,<리뷰 이벤트>,<Review event>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Thank you for playing the game. {{This is a great help for the developers. You will receive 300 Essence as a reward.
1110,리뷰하러 가기,Go to review
1111,답변을 받으실 메일을 적어주세요.,Please write an email to answer.
1112,(언어 변경 시 재시작 필요),(Requires restart when changing language)
1113,이벤트,Event
1114,포인트,Point
1115,친구요청,Friend request
1116,친구추가,Add Friend
1117,친구 목록,Friend List
1118,찾기,Find
1119,아니요,No
1120,멀티대전정보,MultiMatch Info
1121,친구 추가,Add Friend
1122,라인전{운영,Line{Operation
1123,밸런스,Balanced
1124,커스텀,Custom
1125,탑,Top
1126,정글,Top
1127,미드,Jungle
1128,원딜,Mid
1129,서폿,AD
1130,중심,Center
1131,갱킹,Ganking
1132,메인오더,Main order
1133,한정,Limited
1134,레벨,LV
1135,팀,Team
1136,당신의 팀이름을 정해주세요{(최대 5글자),Please specify your team name{(up to 5 characters)
1137,보낸이,From
1138,내용,Contents
1139,첨부,Attachment
1140,쪽지 목록,Message List
1141,받는이:,To:
1142,첨부종류:,Attachment Type:
1143,상세:,Detail:
1144,전송 비용:,Transmission cost:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Item price + basic fee 100 + 5% of attached item price)
1146,쪽지보내기,Send a message
1147,첼린저,Challenger
1148,마스터,Master
1149,다이아,Diamond
1150,플레티넘,Platinum
1151,골드,Gold
1152,실버,Silver
1153,브론즈,Bronze
1154,<시즌 보상정보>,<Season Reward information>
1155,시즌 보상정보,Season Reward Information
1156,등급상승 보상,Class Upgrade reward
1157,명예의 전당 헌액,Hall of Fame contribution
1158,시즌보상카드 증정,Season reward card
1159,다이아 패키지,Diamond Package
1160,플레티넘 패키지,Platinum Package
1161,골드 패키지,Gold package
1162,실버 패키지,Silver package
1163,모든선수 패키지,All Player Package
1164,다이아 영입,Diamond recruitment
1165,첼린저 영입,Challenger Recruitment
1166,모든한정포함 첼린저 영입,All-include Limit Recruitment
1167,보낸날짜,Sent date
1168,보상정보,Rewards Info
1169,모든팀에게 승리 시,Victory to all teams
1170,상세보기,View Details
1171,연습{경기,Practice{Match
1172,대전,Match
1173,멀티 시즌성적,Multi Season Results
1174,새로운 시즌 시작,New Season Start
1175,평균 선수 종합:,Avg Player Total:
1176,이곳을 눌러{선수 이름 입력,Press here to{Player name enter
1177,시즌,Season
1178,영입정보,Recruitment Info
1179,검색,Seach
1180,난이도,Difficulty
1181,대표팀,Famous team
1191,새로운 리그 시작,New League Start
1192,<선수 등급 정보>,<Player rate info>
1193,토너먼트,Tournament
1194,우승,Champion
1195,승자조,Winner's bracket
1196,패자조,Loser's braket
1197,시즌보상정보,Season Reward Info
1198,격전보상정보,Crush Reward Info
1199,재시도,Retry
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ If you do not proceed to the final tournament, you will not be rewarded."
1201,랭크,Rank
1202,격전,Crush
1203,팀정보,Team Info
1204,다음경기,Next Match
1205,팀 능력,Team Stats
1206,선수 능력,Player Stats
1207,<시즌보상선수>,<Season Reward Player>
1208,추가경험치,Add Exp
1209,경기 자동,Auto Match
1210,아이템,Item
1211,사용중인 아이템,Items in use
1212,경기 아이템,Match Items
1213,사용,Use
1214,개수,Count
1215,자동,Auto
1216,추가경험치,AddEXP
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Rewards can only be received by season 10 or more.
1218,언어설정,Language Seting
1219,리셋,Reset
1220,재시작,Reboot
1221,코치,Coach
1222,추가,Add
1223,후보,Sub 
1224,새게임,New Game
1225,버그 제보,Bug Report
1226,코치명단,Coach List
