ID,Korean,Dec
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,"Acara Express Sponsor!
 {{Lihat iklan yang disponsori sekarang untuk mendapatkan hadiah + 50% tambahan."
1107,영입시장으로 가기,Pergi ke Pasar Perekrutan
1108,<리뷰 이벤트>,<Review Event>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,"Terima kasih telah bermain game.
 {{Ini sangat membantu bagi pengembang.
 Anda akan menerima 300 esensi sebagai hadiah."
1110,리뷰하러 가기,Pergi ke ulasan
1111,답변을 받으실 메일을 적어주세요.,Harap tulis email untuk dijawab.
1112,(언어 변경 시 재시작 필요),(Membutuhkan restart saat mengubah bahasa)
1113,이벤트,Peristiwa
1114,포인트,Titik
1115,친구요청,Permintaan pertemanan
1116,친구추가,Tambahkan teman
1117,친구 목록,Daftar Teman
1118,찾기,Menemukan
1119,아니요,TIDAK
1120,멀티대전정보,Info multimatch
1121,친구 추가,Tambahkan teman
1122,라인전{운영,Baris {operasi
1123,밸런스,Seimbang
1124,커스텀,Kebiasaan
1125,탑,Atas
1126,정글,Hutan
1127,미드,Pertengahan
1128,원딜,IKLAN
1129,서폿,Mendukung
1130,중심,Tengah
1131,갱킹,Ganking
1132,메인오더,Pesanan utama
1133,한정,Terbatas
1134,레벨,Lv
1135,팀,Tim
1136,당신의 팀이름을 정해주세요{(최대 5글자),Harap tentukan nama tim Anda {(hingga 5 karakter)
1137,보낸이,Dari
1138,내용,Isi
1139,첨부,Lampiran
1140,쪽지 목록,Daftar Pesan
1141,받는이:,Ke:
1142,첨부종류:,Tipe Lampiran:
1143,상세:,Detail:
1144,전송 비용:,Biaya transmisi:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Harga Item + Biaya Dasar 100 + 5% dari Harga Item Terlampir)
1146,쪽지보내기,Kirim pesan
1147,첼린저,Penantang
1148,마스터,Menguasai
1149,다이아,Berlian
1150,플레티넘,Platinum
1151,골드,Emas
1152,실버,Perak
1153,브론즈,Perunggu
1154,<시즌 보상정보>,<Informasi Hadiah Musim>
1155,시즌 보상정보,Informasi Hadiah Musim
1156,등급상승 보상,Hadiah Upgrade Kelas
1157,명예의 전당 헌액,Kontribusi Hall of Fame
1158,시즌보상카드 증정,Kartu Hadiah Musim
1159,다이아 패키지,Paket berlian
1160,플레티넘 패키지,Paket Platinum
1161,골드 패키지,Paket emas
1162,실버 패키지,Paket perak
1163,모든선수 패키지,Semua paket pemain
1164,다이아 영입,Perekrutan Berlian
1165,첼린저 영입,Perekrutan Challenger
1166,모든한정포함 첼린저 영입,Perekrutan Batas Semua-termasuk
1167,보낸날짜,Tanggal dikirim
1168,보상정보,Info hadiah
1169,모든팀에게 승리 시,Kemenangan untuk semua tim
1170,상세보기,Lihat detail
1171,연습{경기,Berlatih {cocok
1172,대전,Cocok
1173,멀티 시즌성적,Hasil multi musim
1174,새로운 시즌 시작,Mulai musim baru
1175,평균 선수 종합:,Total Pemain AVG:
1176,이곳을 눌러{선수 이름 입력,Tekan di sini untuk {nama pemain enter
1177,시즌,Musim
1178,영입정보,Info perekrutan
1179,검색,Gergaji
1180,난이도,Kesulitan
1181,대표팀,Tim terkenal
1191,새로운 리그 시작,Liga Baru Mulai
1192,<선수 등급 정보>,<Info tingkat pemain>
1193,토너먼트,Turnamen
1194,우승,Juara
1195,승자조,Braket Pemenang
1196,패자조,Braket pecundang
1197,시즌보상정보,Info Hadiah Musim
1198,격전보상정보,Hancurkan info hadiah
1199,재시도,Mencoba kembali
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ Jika Anda tidak melanjutkan ke turnamen terakhir, Anda tidak akan dihargai."
1201,랭크,Pangkat
1202,격전,Menghancurkan
1203,팀정보,Info tim
1204,다음경기,Pertandingan berikutnya
1205,팀 능력,Statistik tim
1206,선수 능력,Statistik pemain
1207,<시즌보상선수>,<Musim Hadiah Pemain>
1208,추가경험치,Tambahkan exp
1209,경기 자동,Pertandingan otomatis
1210,아이템,Barang
1211,사용중인 아이템,Item yang digunakan
1212,경기 아이템,Mencocokkan item
1213,사용,Menggunakan
1214,개수,Menghitung
1215,자동,Mobil
1216,추가경험치,AddExp
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Hadiah hanya dapat diterima pada musim 10 atau lebih.
1218,언어설정,Language Setting
1219,리셋,Mengatur ulang
1220,재시작,Menyalakan ulang
1221,코치,Pelatih
1222,추가,Menambahkan
1223,후보,Sub
1224,새게임,Game baru
1225,버그 제보,Laporan Bug
1226,코치명단,Daftar Pelatih
1227,새로운 광고 준비 중... 기다려주세요,Mempersiapkan Iklan Baru ... Harap Tunggu
1228,확률정보,Info probabilitas
1229,팀명 변경,Perubahan Nama Tim
1230,보상선수,Pemain hadiah
1231,선수명단,Daftar pemain
1232,시간정보 재송신,Info Waktu Muat Ulang
